_id,name,ClausesCategories
14,Employee Stock Purchase Plan,"['Intro Text', 'Purpose', 'Administration', 'Eligibility', 'Participation', 'Offering Periods', 'Payroll Deductions', 'Right To Purchase Shares', 'Exercise Right To Purchase Shares', 'Delivery', 'Stock Subject To The Plan', 'Withdrawal', 'Adjustments Upon Changes In Capitalization', 'Term Of Plan', 'Amendment Or Termination', 'Definitions', 'Miscellaneous', 'Compliance With Securities Law', 'Equal Rights And Privileges', 'Code Section 409A', 'Notices', 'Binding Effect', 'Transferability', 'Governing Law', 'Severability', 'Ending Text']"
15,Employment Agreement,"['Intro Text', 'Bargain (Exchange of Obligations)', 'Employment Terms', 'Employee Compensation', 'Vacation', 'Employee Benefits', 'Employee Expenses', 'Withholding Taxes', 'Term', 'Probation', 'Ownership Of Intellectual Property', 'Image Rights', 'Confidentiality', 'Non-Competition', 'Non-Solicitation', 'Non-Disparagement', 'Tolling', 'Consent to Notify New Employer', 'Termination', 'Effect Of Termination', 'No Duty to Mitigate', 'Return Of Property', 'Definitions', 'General Provisions', 'Counterparts', 'Severability', 'Amendment', 'Reformation', 'Successors and Assigns', 'Acknowledgement Of Contract Terms', 'Notices', 'Waiver', 'Governing Law', 'Interpretation', 'Arbitration And Dispute Resolution', 'Attorneys Fees', 'Ending Text']"
16,End User License Agreement,"['Intro Text', 'License Grant', 'Trial, Evaluation, and Beta', 'Permitted Uses', 'Restricted Uses', 'Support And Maintenance', 'Updates', 'Product Activation', 'Fees', 'Payment', 'Taxes', 'Late Payment', 'Term', 'Warranties', 'Ownership Of Software', 'No Title', 'Non-Infringement', 'Third Party Software', 'Consent To Use Of Data', 'Government Use', 'Export', 'Confidentiality', 'Monitoring and Reporting', 'Termination', 'Effect Of Termination', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Severability', 'Waiver', 'Governing Law', 'Injunctive Relief', 'Interpretation', 'Force Majeure', 'Survival', 'Ending Text']"
17,Executive Employment Agreement,"['Intro Text', 'Bargain', 'Terms of Employment', 'Compensation', 'Equity Compensation', 'Employee Benefits', 'Vacation', 'Medical', 'Automobile', 'Employee Expenses', 'Late Payment', 'Taxes', 'Term', 'Representations', 'Ownership Of Intellectual Property', 'Section 409A Of The Code', 'Effect of Section 280G', 'Confidentiality', 'Non-Competition', 'Non-Solicitation', 'Non-Disparagement', 'Reasonableness Of Restrictions', 'Litigation And Regulatory Cooperation', 'Return Of Property', 'Code Of Ethics', 'Termination', 'Effect Of Termination', 'Indemnification', 'D&O Insurance', 'Definitions', 'General Provisions', 'Entire Agreement', 'Assignment', 'Acknowledgement Of Contract Terms', 'Notices', 'Survival', 'Severability', 'Waiver', 'Equitable Relief', 'Governing Law', 'Amendment', 'Interpretation', 'Binding Effect', 'Counterparts', 'Arbitration And Dispute Resolution', 'Mitigation', 'Conflicting Agreements', 'Attorneys Fees', 'Key Man Insurance', 'Non-Exclusivity Of Rights', 'Cooperation', 'Ending Text']"
18,Executive Retirement Plan,"['Intro Text', 'Definitions', 'Administration', 'Eligibility', 'Participation', 'Account', 'Payment of Benefits', 'Vesting', 'Termination', 'General Provisions', 'Notice', 'Binding Effect', 'Assignment', 'Funding', ""Participants' Creditor Status"", 'Governing Law', 'No Employment Right', 'Severability', 'Code Section 409A', 'Interpretation', 'Expenses', 'Effective Date', 'Amendment', 'Ending Text']"
19,Forbearance Agreement,"['Intro Text', 'Acknowledgments', 'Forbearance', 'Forbearance Period', 'Release', 'Amendment To Credit Agreement', 'Organization', 'Authority', 'No Conflict', 'Consent And Approvals', 'Financing', 'Litigation', 'Representations Accurate', 'Confidentiality', 'Covenants', 'Material Contracts', 'Conditions Precedent', 'Termination', 'Remedies', 'Survival', 'Definitions', 'Miscellaneous', 'Entire Agreement', 'Amendments', 'Counterparts', 'No Course Of Dealing', 'Further Assurances', 'Successors And Assigns', 'Notices', 'No Third Party Beneficiary', 'Governing Law', 'Waiver Of Jury Trial', 'Interpretation', 'Expenses', ""Attorneys' Fees"", 'Severability', 'No Waiver', 'Ending Text']"
20,Framework,"['Intro Text', 'Term', 'Fees', 'Roles and Responsibilities of the Supplier', 'Provision of Goods', 'Provision of Services', 'End Text']"
21,Franchise Agreement,"['Intro Text', 'Exchange', 'Deliverable', 'Fees', 'Payment Terms', 'Taxes', 'Late Payments', 'Term', 'Representations And Warranties', 'Operations', 'Franchisee Release', 'Franchisor Obligations', 'Advertising', 'Confidentiality', 'Non-Competition', 'Non-Solicitation', 'Indemnification', 'Termination', 'Transfer', 'Relationship Of The Parties', 'Definitions', 'General Provisions', 'Waiver', 'Entire Agreement', 'Binding Effect', 'Counterparts', 'Amendment', 'Severability', 'Interpretation', 'Dispute Resolution', ""Attorneys' Fees"", 'Governing Law', 'Notices', 'Equitable Relief', 'Force Majeure', 'Time', 'Ending Text']"
22,General Release of Claims,"['Intro Text', 'Termination Of Employment', 'General Release of Claims', 'Severance Benefits', 'Right To Revoke', 'Effectiveness Of Release', 'Conditions on Severance', 'No Actions Brought', 'No Assignment Of Claims', 'EEOC and ADEA Claims', 'Acknowledgements', 'Covenant Not To Sue', 'Non-Disparagement', 'Confidential Information', 'Return Of Company Property', 'Internal Revenue Code Section 409A', 'Definitions', 'General', 'Acknowledgment of Contract Terms', 'Entire Agreement', 'Governing Law', 'Counterparts', 'Severability', ""Attorneys' Fees"", 'Waiver', 'Notices', 'End Text']"
23,Gift Acceptance Policy,"['Purpose', 'Gifts Defined', 'General Policy', 'Gift Acceptance Procedure', 'The Gift Acceptance Committee', 'Use Of Legal Counsel', 'Appraisals', 'Confidentiality', 'Conflict Of Interest', 'Gifts Generally Accepted Without Review', 'Policy Amendment And Review']"
24,Hosting Agreement,"['Intro Text', 'Services', 'Fees', 'Payment', 'Taxes', 'Late Payments', 'Representations And Warranties', 'Compliance with Law', 'Disclaimer Of Warranties', 'Customer Restrictions', 'Limitations Of Liability', 'Intellectual Property Rights', 'Confidentiality', 'Publicity', 'Term', 'Termination', 'Effect of Termination', 'Indemnification', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendments', 'Enurement', 'No Third Party Beneficiaries', 'Assignment', 'Notices', 'Relationship', 'Disputes', 'Governing Law', 'No Waiver', 'Force Majeure', 'Severability', 'Interpretation', ""Attorneys' Fees"", 'Ending Text']"
25,Indemnification Agreement,"['Intro Text', 'Definitions', 'Employment Rights And Duties', 'Indemnification', 'Exclusions', 'Indemnification Procedure', 'Advancement Of Expenses', 'Mutual Acknowledgement', 'Primary Responsibility', 'Presumptions And Effect Of Certain Proceedings', 'Certain Settlement Provisions', 'Subsequent Legislation', 'Non-Exclusivity', 'Security', 'Remedies Of Indemnitee', 'Contribution', 'No Duplication Of Payments', 'Insurance', 'Duration Of Agreement', 'Period Of Limitations', 'General', 'Entire Agreement', 'Further Assurances', 'Amendments', 'Counterparts', 'Successors And Assigns', 'Assignment', 'Notices', 'Arbitration', 'Governing Law', 'Consent To Jurisdiction', 'Enforcement', 'Attorney Fees', 'Severability', 'Survival', 'Waiver', 'Interpretation Of Agreement', 'Specific Performance', 'Ending Text']"
26,Independent Contractor Agreement,"['Intro Text', 'Services', 'Terms of Service', 'Changes To Services', 'Compensation', 'Invoices And Payment', 'Expenses', 'Taxes', 'Term', 'Representations And Warranties', 'Independent Contractor Status', 'Equipment', 'Audit', 'Intellectual Property', 'Confidentiality', 'Non-Solicitation', 'Non-Competition', 'Publicity', 'Compliance With Law', 'Limitations Of Liability', 'Insurance', 'Termination', 'Effect of Termination', 'Indemnification', 'Definitions', 'General Provisions', 'Entire Agreement', 'Further Assurances', 'Amendment', 'Binding Effect', 'Assignment', 'Notices', 'Remedies Cumulative', 'Severability', 'Waiver', 'Injunctive Relief', 'Governing Law', 'Counterparts', 'Interpretation', 'Disputes', 'Force Majeure', 'Acknowledgement', 'Ending Text']"
27,Integration Services Agreement,"['Intro Text', 'Services', 'Software License', 'Fees', 'Taxes', 'Late Payments', 'Term', 'Representations And Warranties', 'No Other Warranties', 'Proprietary Rights', 'Confidentiality', 'Insurance', 'Termination', 'Effect Of Termination', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General', 'Entire Agreement', 'Relationship Of The Parties', 'Assignment', 'Notices', 'Governing Law', 'Waiver', 'Force Majeure', 'Severability', 'Interpretation', 'Ending Text']"
28,Intellectual Property Security Agreement,"['Intro Text', 'Grant of IP Security Interest', 'Security For Obligations', 'Expenses', 'Term', 'Representations', 'Recordation of Security Interest', 'Security Interest Absolute', 'Proceeds from Collateral', 'Grant Of License To Use Intellectual Property', 'Ownership of Intellectual Property', 'Future Rights', 'Other Security', 'Security Credit Agreement', 'Powers Coupled With Interest', ""Debtor's Obligations"", 'Compliance With Law', 'Books and Records', 'Restrictions On Future Agreements', 'Inspection and Audit of Facilities and Representatives', 'Indemnification', 'Rights And Remedies', 'Termination', 'Effect of Termination', 'Reinstatement', 'Definitions', 'General Terms', 'Power Of Attorney', 'Further Assurances', 'Entire Agreement', 'Counterparts', 'Amendment', 'Notices', 'Assignment', 'Binding Effect', 'Governing Law', 'Waiver Of Jury Trial', 'Survival Of Representations', 'No Waiver', 'Severability', 'Interpretation', 'Right Of Set-Off', 'End Text']"
29,Inventions Assignment Agreement,"['Intro Text', 'Term', 'At-Will Employment', 'Assignment Of Inventions', 'Prior Inventions', 'Assignments to US Government', 'Maintenance Of Records', 'Further Assurances', 'Ownership Of Inventions', 'Representations', 'Confidentiality', 'Export', 'Termination Certification', 'Return of Property', 'Notification Of New Employer', 'Equitable Remedies', 'Definitions', 'General Provisions', 'Entire Agreement', 'Amendment', 'Counterparts', 'Successors And Assigns', 'Assignment', 'Notices', 'Dispute Resolution', 'Attorney Fees', 'Governing Law', 'Waiver', 'Severability', 'Survival', 'Construction', 'Acknowledgment of Contract Terms', 'End Text']"
30,Investor Rights Agreement,"['Intro Text', 'Registration Rights', 'Indemnification', 'Assignment Of Registration Rights', 'Rule 144 Reporting', 'Restrictions On Transfer', 'Expenses Of Registration', 'Representations', 'Confidentiality', 'Covenants Of The Company', 'Termination', 'Definitions', 'General Provisions', 'Entire Agreement', 'Successors And Assigns', 'Severability', 'Counterparts', 'Governing Law', 'Notices', 'Interpretation', 'Waiver', ""Attorneys' Fees"", 'Aggregation Of Stock', 'Amendment', 'Ending Text']"
31,Management Rights Agreement,"['Advisory Rights', 'Board Rights', 'Attendance Rights', 'Information Rights', 'Management Right Transfer', 'Required Changes', 'Restructuring', 'Limited Liability', 'Termination', 'Miscellaneous', 'Notice', 'Equitable Relief', 'Severability', 'Successors And Assigns', 'Headings', 'Governing Law', 'Counterparts', 'Gender', 'Entire Agreement', 'Amendment']"
32,Master Services Agreement,"['Intro Text', 'Services', 'Term', 'Statements of Work', 'Performance of Services', 'Standards of Service', 'Management', 'Personnel', 'Subcontracting', 'Software Deliverables and License Grant', 'Acceptance and Rejection', 'Compensation', 'Payment of Compensation', 'Taxes', 'Interest on Late Payments', 'Mutual Representations', 'Facilities', 'Improvement Opportunities', 'Business Continuity and Disaster Recovery Plans', 'Intellectual Property', 'Confidentiality Obligations', 'Mutual Non-Solicitation', 'Publicity', 'Use of Name', 'Compliance with Laws', 'Export Control Laws', 'Regulatory Matters', 'Insurance', 'Inspection and Audit of Books and Records', 'Inspection and Audit of Facilities and Employees', 'Termination', 'Effect of Termination', 'Return of Property', 'Indemnification', 'Limitation on Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Amendment', 'Counterparts', 'Binding Effect', 'Third Party Beneficiaries', 'Assignment', 'Notices', 'Dispute Resolution', 'Governing Law and Consent to Jurisdiction and Venue', 'Force Majeure', 'Waiver', 'Interpretation', 'Severability', 'Attorney Fees', 'Schedules and Exhibits']"
33,Non-Competition Agreement,"['Intro Text', 'Definitions', 'Non-Competition', 'Non-Solicitation', 'Non-Disclosure', 'Consideration', 'Term', 'Extension Of Time', 'Representations And Warranties', 'Survival of Representations', 'Acknowledgement Of Reasonableness', 'Equitable Relief', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Further Assurances', 'Amendments', 'Waiver', 'Notices', 'Assignment', 'Binding Effect', 'Governing Law', 'Waiver Of Jury Trial', 'Severability', 'Attorney Fees', 'Acknowledgment of Contract Terms', 'Interpretation', 'End Text']"
34,Non-Disclosure Agreement (NDA),"['Intro Text', 'Exchange Of Information', 'Confidential Information', 'Non-Confidential Information', 'Marking', 'Confidentiality Obligations', 'Use of Information', 'Non-Disclosure of Information', 'Non-Disclosure Of Discussions', 'Protection', 'Notice Of Disclosure', 'Return Or Destruction Of Confidential Information', 'Required Disclosure', 'Standstill', 'No Reverse Engineering', 'Permitted Disclosure', 'Term', 'Representations', 'Warranties', 'Ownership Of Confidential Information', 'Non-Solicitation', 'No License', 'No Obligation', 'Independent Development', 'Securities Laws', 'Termination', 'Indemnification', 'Remedies', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'Notices', 'Assignment', 'Governing Law', 'No Waiver', 'Severability', 'Headings', 'Attorney Fees', 'Ending Text']"
35,Office Equipment Lease,"['Intro Text', 'Lease', 'Non-Cancellable Lease', 'Rent', 'Payment', 'Taxes', 'Security Deposit', 'Late Payment', 'Expenses', 'Delivery', 'Acceptance Of Equipment', 'Permitted Use', 'Term', 'Option To Renew', 'Representations', 'Disclaimer Of Warranties', 'Encumbrances', 'Repairs And Maintenance', 'Alterations', 'Insurance', 'Ownership', 'Inspection of Equipment', 'Confidentiality', 'Quiet Enjoyment', 'Option To Purchase', 'Risk Of Loss Or Damage', 'Default', 'Return Of Equipment', 'Indemnity', 'Definitions', 'General Provisions', 'Notices', 'Assignment', 'Binding Effect', 'Survival', 'Interpretation', 'Severability', 'Waiver', 'Further Assurances', 'Governing Law', 'Jury Trial Waiver', 'Entire Agreement', 'End Text']"
36,Office Lease Agreement,"['Intro Text', 'Lease Grant', 'Permitted Use of Premise', 'Prohibited Use of Premise', 'Rent', 'Payment', 'Security Deposit', 'Taxes', 'Late Payments', 'Term', 'Representations', 'Brokers', 'Maintenance And Repairs', 'Alterations', 'Utilities And Services', 'Rules And Regulations', 'Recordation', 'Signs', 'Parking', 'Liens', 'Quiet Enjoyment', 'Estoppel Certificates', 'Insurance', 'Waiver Of Subrogation', 'Right of Inspection', 'Assignment And Subletting', 'Damage Or Destruction', 'Condemnation', 'Right To Expand', 'Option To Renew', 'Right Of First Offer', 'Default', 'Remedies', 'Surrender Of Premises', 'Holding Over', 'Subordination', 'Indemnification', 'Definitions', 'General Provisions', 'Notices', 'Binding Effect', 'Governing Law', 'Jury Trial Waiver', 'Waivers', 'Severability', 'Survival', 'Joint And Several', 'Modifications For Lender', 'Force Majeure', 'Interpretation', 'Independent Covenants', 'Attorney Fees', 'Entire Agreement', 'Exhibits And Addendums', 'End Text']"
37,Patent Assignment Agreement,"['Intro Text', 'Assignment', 'License', 'Fees', 'Payment', 'Taxes', 'Late Payments', 'Costs Of Patent Maintenance', 'Term', 'Termination', 'Representations', 'Authorization Of Commissioner', 'Authorization for Priority', 'Power Of Attorney', 'Confidentiality', 'Publicity', 'Infringement', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'Binding Effect', 'Notices', 'Dispute Resolution', 'Governing Law', 'Severability', 'Waiver', 'End Text']"
38,Patent Assignment Agreement (short form),"['Intro Text', 'Assignment', 'Representations', 'Governing Law', 'Definitions', 'End Text']"
39,Patent License Agreement,"['Intro Text', 'Bargain', 'Deliverables', 'Fees', 'Payment Terms', 'Taxes', 'Registration and Maintenance of Intellectual Property', 'Diligence', 'Confidentiality', 'Patent Markings', 'Use Of Name', 'Export Compliance', 'Insurance', 'Compliance With Laws', 'Representations', 'Disclaimer Of Warranties', 'Term', 'Termination By Licensee', 'Termination By Licensor', 'Infringement And Litigation', 'Indemnification', 'Limitations Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendments', 'Interpretation', 'Independent Contractors', 'Binding Effect', 'Third Party Beneficiaries', 'Assignment', 'Notices', 'Dispute Resolution', 'Survival', 'Governing Law', 'Waiver', 'Severability', 'Force Majeure', 'Ending Text']"
40,Privacy Policy,"['Intro Text', 'Information Collection', 'Children Under The Age Of 13', 'How We Use The Information', 'Information Sharing And Disclosure', 'User Settings', 'Accessing And Correcting Your Information', 'California Privacy Rights', 'Security', 'Changes To The Privacy Policy', 'Links To Other Websites', 'International Users', 'Contacting Us', 'Definitions']"
41,Product Sales Agreement,"['Intro Text', 'Purchase Orders', 'Delivery', 'Prices', 'Payment', 'Taxes', 'Late Payment', 'Term', 'Warranty', 'Intellectual Property Rights', 'Representations', 'License Of Software', 'Professional Services', 'Security Interest', 'Confidentiality', 'Infringement', 'Compliance With Laws', 'Export Control', 'Us Federal Government Use', 'Insurance', 'Termination', 'Effect of Termination', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General', 'Entire Agreement', 'Counterparts', 'Modifications', 'Binding Effect', 'Assignment', 'Notices', 'Disputes', 'Governing Law', 'Force Majeure', 'Interpretation', 'Waiver', 'Severability', 'Ending Text']"
42,Proof of Concept Agreement,"['Intro Text', 'Purpose', 'Evaluation Period', 'Software Fees', 'Services', 'Software License', 'Termination', 'Representations', 'Warranties', 'Ownership', 'Consent to Use of Information', 'Confidentiality', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'End Text']"
43,Proxy Agreement,"['Designation Of Proxy', 'Exercise Of Voting Rights', 'Compensation Of Proxy', 'Term', 'Termination', 'Miscellaneous', 'Due Execution', 'Counterparts', 'Notices', 'Severability', 'Successors And Assigns', 'Amendments', 'Specific Performance', 'Governing Law', 'Entire Agreement']"
44,Request for Proposal,"['Intro Text', 'Proposal Overview', 'Proposal Requirements', 'Project Description', 'Project and RFP Timeline', 'Project Budget', 'Standard Terms and Conditions', 'Project Evaluation Factors']"
45,Research Agreement,"['Intro Text', 'Exchange', 'Deliverables', 'Fees', 'Payment Terms', 'Taxes', 'Late Payments', 'No Warranty', 'Representations', 'Compliance With Laws', 'Intellectual Property', 'Confidentiality', 'Return of Confidential Information', 'Publicity', 'Use Of Name', 'Publications', 'Equipment', 'Insurance', 'Term And Termination', 'Term', 'Effects Of Termination', 'Return of Property', 'Indemnification', 'Definitions', 'General Provisions', 'Assignment', 'Notices', 'Arbitration', 'Relationship Of Parties', 'Headings', 'Agreement Modifications', 'Force Majeure', 'Entire Agreement', 'Waiver', 'Severability', 'Counterparts', 'Governing Law', 'Ending Text']"
46,Reseller Agreement,"['Intro Text', 'Appointment Of Reseller', 'Orders', 'Provide Products', 'Delivery And Shipment', 'Product Materials', 'Acceptance', 'Changes to Products', 'Price', 'Payment', 'Taxes', 'Late Payments', 'Term', 'Representations And Warranties', 'Limited Warranty', 'No Warranties', 'Ownership Of Intellectual Property', 'Reseller Responsibilities', 'Licenses', 'Compliance With Laws', 'Export Control', 'Confidentiality', 'Public Announcements', 'Audit Rights', 'Termination', 'Effect of Termination', 'Indemnification', 'Limitation Of Liability', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Severability', 'Amendment', 'Relationship Of The Parties', 'Assignment', 'Notices', 'Dispute Resolution', 'Governing Law', 'Waiver', 'Force Majeure', 'Interpretation', 'Binding Agreement', 'Ending Text']"
